2.0664E+00	2.4738E+00	2.0982E+01
1.7712E+00	1.9205E+00	1.7991E+01
1.5498E+00	1.5782E+00	1.5656E+01
1.3776E+00	1.3899E+00	1.3784E+01
1.2399E+00	1.3157E+00	1.2245E+01
1.1271E+00	1.3281E+00	1.0969E+01
1.0332E+00	1.3998E+00	9.8914E+00
9.9988E-01	1.4359E+00	9.4939E+00
9.6863E-01	1.4867E+00	9.0655E+00
9.3928E-01	1.6784E+00	8.5970E+00
9.1166E-01	1.9739E+00	8.3058E+00
8.8561E-01	2.2802E+00	8.1134E+00
8.3774E-01	2.6945E+00	8.1878E+00
8.1569E-01	2.7668E+00	8.2573E+00
7.9478E-01	2.7675E+00	8.3866E+00
7.7491E-01	2.6154E+00	8.4914E+00
7.2932E-01	2.1606E+00	8.3565E+00
6.8881E-01	1.8301E+00	8.0601E+00
6.5225E-01	1.5724E+00	7.7354E+00
6.1993E-01	1.3660E+00	7.4052E+00
5.6357E-01	1.0728E+00	6.7839E+00
5.1660E-01	8.7340E-01	6.2418E+00
4.7687E-01	7.2780E-01	5.7781E+00
4.4280E-01	6.0790E-01	5.3676E+00
4.1328E-01	5.2135E-01	5.0008E+00
3.6466E-01	3.9877E-01	4.3957E+00
3.2628E-01	3.1474E-01	3.9165E+00
3.0996E-01	2.8003E-01	3.7081E+00
2.4797E-01	1.8137E-01	2.9029E+00
2.0664E-01	1.2677E-01	2.3563E+00
1.7712E-01	9.4236E-02	1.9519E+00
1.5498E-01	7.2505E-02	1.6366E+00
1.3776E-01	5.7167E-02	1.3775E+00
1.2399E-01	4.6304E-02	1.1555E+00
1.1271E-01	3.8468E-02	9.5677E-01
1.0332E-01	3.5753E-02	7.7163E-01
